wn,lp,center_x_um,center_y_um,angle_deg,radius_um,rect_width_um,align_bg_loc_nm,realign_nm
1000cm-1,lp1,0.3,0.5,0.0,2.0,0.076923,240,0
991cm-1,lp1,0.3,0.5,0.0,2.0,0.076923,210,0
980cm-1,lp1,0.3,0.5,0.0,2.0,0.076923,110,0
970cm-1,lp1,0.2,0.5,0.0,2.0,0.076923,195,0
960cm-1,lp1,0.2,0.5,0.0,2.0,0.076923,137,0
950cm-1,lp1,0.2,0.5,0.0,2.0,0.076923,192,0
941cm-1,lp1,0.2,0.5,0.0,2.0,0.076923,165,0
930cm-1,lp1,0.2,0.5,0.0,2.0,0.076923,165,0
920cm-1,lp1,0.2,0.5,0.0,2.0,0.076923,194,0
911cm-1,lp1,0.3,0.5,0.0,2.0,0.076923,280,0
900cm-1,lp1,0.2,0.5,0.0,2.0,0.076923,135,0
890cm-1,lp1,0.3,0.5,0.0,2.0,0.076923,155,0
880cm-1,lp1,0.3,0.5,0.0,2.0,0.076923,173,0
870cm-1,lp1,0.3,0.5,0.0,2.0,0.076923,190,0
860cm-1,lp1,0.3,0.5,0.0,2.0,0.076923,205,0
1000cm-1,lp2,3.879,0.841,-160.0,1.2,0.153846,205,0
991cm-1,lp2,3.879,0.841,-160.0,1.2,0.153846,240,0
980cm-1,lp2,3.7,0.83,-160.0,1.2,0.153846,160,0
970cm-1,lp2,3.7,0.83,-160.0,1.2,0.153846,235,0
960cm-1,lp2,3.6,0.83,-160.0,1.2,0.153846,225,0
950cm-1,lp2,3.7,0.83,-160.0,1.2,0.153846,192,0
941cm-1,lp2,3.7,0.83,-160.0,1.2,0.153846,224,0
930cm-1,lp2,3.7,0.83,-160.0,1.2,0.153846,227,0
920cm-1,lp2,3.7,0.83,-160.0,1.2,0.153846,196,0
911cm-1,lp2,3.879,0.841,-160.0,1.2,0.153846,210,0
900cm-1,lp2,3.7,0.83,-160.0,1.2,0.153846,285,0
890cm-1,lp2,3.7,0.83,-160.0,1.2,0.153846,185,0
880cm-1,lp2,3.7,0.83,-160.0,1.2,0.153846,162,0
870cm-1,lp2,3.7,0.83,-160.0,1.2,0.153846,138,0
860cm-1,lp2,3.879,0.841,-160.0,1.2,0.153846,287,0
