distance_nm,O3A,O3P,Z_nm,Z_nm_corrected
-121.6154,2.0491894483566284,-0.37055402994155884,-4.863471005392907,0.0
-106.2308,2.0182246923446656,-0.3725784122943878,-4.77464975782023,0.08882124757267729
-90.8462,2.0043275356292725,-0.36720412969589233,-4.725432411156977,0.13803859423592968
-75.4616,1.9957428932189942,-0.35918317437171937,-4.616560161081858,0.24691084431104926
-60.077,1.9852708101272583,-0.3651247024536133,-4.470775851222802,0.3926951541701049
-44.69239999999999,1.9498422145843506,-0.35427488684654235,-4.487267141797098,0.3762038635958094
-29.3078,1.9189075231552124,-0.333459609746933,-4.534393884641902,0.3290771207510055
-13.923199999999994,1.7847193479537964,-0.2922087788581848,-4.015717576491831,0.8477534289010764
1.461400000000026,1.3475243330001831,-0.1735520213842392,-1.994945378296594,2.868525627096313
16.846000000000004,1.2975256443023682,0.14636896550655365,-0.8016295590381255,4.061841446354782
32.23060000000001,1.6019263505935668,0.5762058377265931,-0.12396944809264525,4.739501557300262
47.615200000000016,1.9401907444000244,0.8900651454925537,0.22066892670781577,5.084139932100723
62.99979999999999,2.0860235691070557,0.8483447790145874,0.24102694414743694,5.104497949540344
78.3844,2.5074426174163817,0.6222791075706482,0.1716842627345187,5.035155268127426
93.769,3.526349592208862,0.5301079154014587,0.2448451289900575,5.108316134382965
109.15360000000001,4.655949687957763,0.6392107129096984,0.35607648322167085,5.219547488614578
124.53820000000002,5.420045185089111,0.8641654491424561,0.30264795586148735,5.166118961254394
139.92280000000005,5.43288402557373,1.0870122909545898,0.2595343699075535,5.123005375300461
155.30739999999997,4.969470405578614,1.2407514810562135,0.27341102595801414,5.136882031350921
170.692,4.428786563873291,1.3332469940185547,0.23547646374675643,5.098947469139664
186.07659999999998,3.884056568145752,1.3691156387329102,0.12177915281723699,4.985250158210144
201.46120000000002,3.4756810665130615,1.340887761116028,0.031095147551779688,4.894566152944686
216.8458,3.2033981800079347,1.2781461954116822,-0.023591276231744018,4.839879729161163
232.23040000000003,3.08508358001709,1.184690284729004,-0.005758016177376746,4.85771298921553
247.615,3.117756175994873,1.0932804346084595,0.11342183201175615,4.976892837404663
262.9996,3.2875580310821535,1.0383013606071472,0.2917466539557715,5.155217659348678
278.38419999999996,3.5250752925872804,1.0265602111816405,0.29892279425916185,5.162393799652069
293.7688,3.728934335708618,1.0535035133361816,0.26658229485307994,5.130053300245987
309.1534,3.8385807991027834,1.1027230978012086,0.16016075601828703,5.0236317614111945
324.538,3.8233498096466065,1.1314172983169555,0.1489712270711891,5.012442232464096
339.9226,3.7284635066986085,1.1476326704025268,0.22686784924713804,5.090338854640045
355.3072,3.6795777797698976,1.1470905065536499,0.23434859312718892,5.097819598520096
370.6918,3.6128591537475585,1.138238501548767,0.21240676773233744,5.075877773125245
386.07640000000004,3.5548840522766114,1.1166178941726685,0.17508446443221218,5.038555469825119
401.461,3.562795877456665,1.099937629699707,0.10484227740405991,4.968313282796967
416.8456000000001,3.6139591693878175,1.0911491632461547,-0.06147840083502949,4.801992604557878
432.23019999999997,3.6578869342803957,1.0930906057357788,-0.11839985574648289,4.745071149646424
447.61479999999995,3.6802143096923827,1.0984168291091918,-0.052487486500221434,4.8109835188926855
462.9993999999999,3.726126480102539,1.1132041215896606,-0.0143510724541553,4.849119932938752
478.384,3.7270476818084717,1.1303081035614013,0.07967714151866936,4.943148146911576
493.7686,3.6859288692474363,1.1405611276626586,0.17633253749832925,5.039803542891236
509.15319999999997,3.6382700920104982,1.1479046583175658,0.20860919507466882,5.072080200467576
