start_um,hankel_q_1e5cm-1,hankel_rmse,1/sqrtx_q_1e5cm-1,1/sqrtx_rmse
0.0,0.9939305160526049,0.07200425078109177,1.1186464443597441,0.07617780697168777
0.02,0.9898562876899734,0.05816145149639288,1.1202813572810861,0.07129163494374716
0.04,1.019034581370706,0.04268520259017312,1.1221354924932914,0.05978899039296905
0.06,1.0574388000853288,0.03175218615767854,1.1255774679558175,0.04797857087796826
0.08,1.0999931873379036,0.028258614122042853,1.1305791927913842,0.03305291916538291
0.1,1.1457825928009377,0.0283710569798457,1.1326055070922414,0.028489391527131133
0.12,1.1758782516891872,0.031555986392079835,1.1332385656958228,0.028626242259191467
0.14,1.1005842984974934,0.03146582829127866,1.13209713532922,0.027794150939734554
0.16,1.0581352254230796,0.02760270706869591,1.129594529407675,0.026802825956927533
0.18,1.05226590135728,0.026325436802375278,1.1285644464622733,0.02641585301257367
0.2,1.0705250115604337,0.022937133149102517,1.1314892068567874,0.024713055241289854
0.22,1.1060944913748307,0.019687386409554797,1.1347274176424722,0.02275598777936701
0.24,1.1760769269349924,0.017837893506689514,1.137795001947487,0.019227433996837334
0.26,1.2330744537100349,0.014734584335458378,1.1640683145608073,0.018798912670909686
0.28,1.26798733023229,0.01514057554337934,1.2343140317027443,0.014936006317290335
0.3,1.2421208083070754,0.015517342141990553,1.2333343485600572,0.015187876829853285
0.32,1.2132582322189882,0.015731635255483475,1.23038875750266,0.015277453784816269
0.34,1.2174780983356395,0.015628029887871788,1.2250447069877015,0.015364867812479742
0.36,1.2314278733166788,0.01620646344834357,1.228688025264517,0.015465146714954199
0.38,1.2298321221958866,0.01841121794884581,1.2387782747475233,0.01563638258649192
0.4,1.1937485027032178,0.01614038579838555,1.1846949920709342,0.016013060860521285
0.42,1.1866084955507135,0.01654873417641968,1.1792141084698262,0.01645767958517813
0.44,1.1696965281588771,0.01642095606319406,1.1950256685530223,0.01644221349476006
0.46,1.1781875451982187,0.015848937303589692,1.2476594702095696,0.016136734609790482
0.48,1.176111817151113,0.016133361995554846,1.182891524972274,0.016044498114184118
0.5,1.1526616939070917,0.016961762178024677,1.1592447615744017,0.01642379128954811
