wn,fft_q_2q,fft_q_2q_fwhm,fft_q_first,fft_q_first_fwhm,n_peaks_fit
860,0.9634537698089979,0.7172520230299048,,,1
870,1.1084432485205573,0.6276405554058389,,,1
880,1.1727429951092705,0.5517899996343116,,,1
890,1.2530099191008082,0.4663239449768602,,,1
900,1.338576880106404,0.5261782920378798,0.9695177154712044,0.036475178398109945,2
911,1.449103470123521,0.4740178776876198,1.135557446121874,0.37591795346784135,2
920,1.5879424809245979,0.493471840026764,1.5385246487644104,0.8487014021683545,2
930,1.6823033730924604,0.6479394541010868,1.7219045719687167,2.3874925951431316,2
941,1.8601048448118767,0.4681034969793176,1.7429357570561403,0.8941953989473783,2
950,1.971144236326857,0.503417716924014,1.7296797566965794,0.8493777754932326,2
960,1.9241140628775526,0.7695077810373021,1.906698734533738,1.770323500039145,2
970,2.079319391754654,1.1523223598896268,1.8964093877290202,1.1870336625178763,2
980,2.3520724841963156,0.4144723273793275,2.107565830661498,2.1513991066592775,2
991,2.7743049733287313,2.36610600056061,2.7283541490652086,0.7001177701143364,2
1000,2.856799386648769,3.3807967858156447,3.4245341421780244,0.9183251816009192,2
