# Raman Linecut Export
# Pixel size: 15 nm
# Direction: horizontal
# Start offset from align: (5, 0)
# Length: 150 px
# Width averaged: 15 px
# Maps included: 15
# Alignment points:
#   860 cm⁻¹: align=(14,37), abs_start=(19,37)
#   870 cm⁻¹: align=(14,34), abs_start=(19,34)
#   880 cm⁻¹: align=(14,34), abs_start=(19,34)
#   890 cm⁻¹: align=(11,29), abs_start=(16,29)
#   900 cm⁻¹: align=(9,28), abs_start=(14,28)
#   911 cm⁻¹: align=(17,39), abs_start=(22,39)
#   920 cm⁻¹: align=(5,40), abs_start=(10,40)
#   930 cm⁻¹: align=(4,38), abs_start=(9,38)
#   941 cm⁻¹: align=(3,39), abs_start=(8,39)
#   950 cm⁻¹: align=(3,39), abs_start=(8,39)
#   960 cm⁻¹: align=(2,31), abs_start=(7,31)
#   970 cm⁻¹: align=(7,24), abs_start=(12,24)
#   980 cm⁻¹: align=(8,38), abs_start=(13,38)
#   991 cm⁻¹: align=(11,38), abs_start=(16,38)
#   1000 cm⁻¹: align=(15,42), abs_start=(20,42)

pixel_index,860_cm⁻¹,870_cm⁻¹,880_cm⁻¹,890_cm⁻¹,900_cm⁻¹,911_cm⁻¹,920_cm⁻¹,930_cm⁻¹,941_cm⁻¹,950_cm⁻¹,960_cm⁻¹,970_cm⁻¹,980_cm⁻¹,991_cm⁻¹,1000_cm⁻¹
32,1.715493,5.106913,6.470500,1.745620,4.687887,1.859873,4.654473,3.963833,4.448833,3.617027,2.016373,2.389607,4.805533,3.840233,3.889627
33,1.785813,5.356787,6.517780,1.762707,4.596133,1.807907,4.603207,4.010180,4.564073,3.689953,2.052480,2.376907,4.714280,3.853980,3.894693
34,1.882933,5.460113,6.476333,1.732347,4.461933,1.765667,4.613213,4.093733,4.681840,3.756640,2.068947,2.351133,4.674060,3.884393,3.896633
35,1.952607,5.471513,6.292893,1.688873,4.358180,1.757460,4.723700,4.216140,4.791907,3.803613,2.060813,2.322293,4.706760,3.898947,3.892840
36,2.044387,5.394060,6.098447,1.651487,4.283293,1.778740,4.824160,4.287113,4.795020,3.787600,2.035333,2.315627,4.746853,3.895587,3.890867
37,2.062840,5.246060,5.952213,1.599147,4.282647,1.822313,4.908840,4.302447,4.726667,3.724927,2.006900,2.324447,4.791100,3.896480,3.906240
38,2.062773,5.117567,5.857213,1.593700,4.365313,1.863867,5.001893,4.284353,4.665493,3.674487,1.992647,2.334900,4.779400,3.907127,3.911693
39,2.062547,5.036147,5.870460,1.601880,4.467000,1.909753,5.001367,4.198127,4.601533,3.680833,2.006687,2.362113,4.794633,3.929900,3.907187
40,2.042160,4.959940,5.922407,1.647533,4.597133,1.926127,4.862433,4.108327,4.537287,3.650800,2.014607,2.343333,4.767813,3.923907,3.889260
41,2.001753,4.962460,6.084893,1.709313,4.677687,1.907680,4.732193,4.054647,4.521187,3.642480,2.021813,2.335407,4.712387,3.895460,3.857940
42,1.956480,5.033107,6.265193,1.738773,4.691387,1.886993,4.738527,4.057800,4.573273,3.642273,2.013173,2.321433,4.728560,3.885287,3.883900
43,1.942240,5.127840,6.412920,1.767813,4.690740,1.844913,4.686540,4.092047,4.640993,3.685320,2.015433,2.347633,4.792660,3.914240,3.888920
44,1.936413,5.262580,6.502933,1.774393,4.628433,1.817600,4.689867,4.107473,4.691880,3.731080,2.020147,2.341933,4.805147,3.919340,3.910840
45,1.937620,5.380387,6.537307,1.765320,4.537193,1.796820,4.742227,4.146353,4.676253,3.710333,2.014740,2.359547,4.806820,3.911047,3.920620
46,1.962273,5.450127,6.457493,1.733287,4.453687,1.797760,4.777713,4.177027,4.667367,3.702960,2.036567,2.367940,4.793660,3.906487,3.908527
47,1.990700,5.469340,6.363553,1.691207,4.392920,1.811140,4.834647,4.152460,4.643687,3.705653,2.026727,2.365227,4.776167,3.920900,3.899187
48,2.033113,5.446427,6.232753,1.670580,4.356053,1.818627,4.800180,4.147920,4.610840,3.685200,2.025173,2.349827,4.752040,3.895453,3.896707
49,2.062780,5.378393,6.095920,1.644353,4.385073,1.833787,4.829767,4.117213,4.613940,3.681233,2.024473,2.346287,4.753793,3.899807,3.902873
50,2.084860,5.291593,6.019387,1.617380,4.386713,1.829353,4.799207,4.093960,4.629500,3.685807,2.023860,2.348413,4.746147,3.902220,3.891367
51,2.097100,5.201833,5.980773,1.631647,4.427993,1.830847,4.749313,4.100533,4.607307,3.694260,2.009167,2.325180,4.763987,3.896153,3.900293
52,2.099487,5.142860,6.002373,1.646973,4.464560,1.831533,4.773067,4.116900,4.666027,3.693107,2.027987,2.345120,4.765107,3.902733,3.911867
53,2.084280,5.085393,6.044247,1.664327,4.499647,1.819053,4.743853,4.141047,4.662040,3.715287,2.015520,2.342880,4.765973,3.909180,3.893500
54,2.067440,5.083533,6.100140,1.674740,4.482707,1.816167,4.760293,4.141813,4.680280,3.697867,2.014813,2.345980,4.751013,3.909533,3.898873
55,2.056560,5.091273,6.161907,1.694920,4.486093,1.803653,4.806540,4.162727,4.652493,3.688500,2.004340,2.341993,4.759807,3.899560,3.901020
56,2.024720,5.126527,6.215807,1.689913,4.473233,1.834440,4.842393,4.165560,4.627240,3.690280,2.018013,2.363020,4.778747,3.905347,3.897740
57,1.990747,5.166667,6.238380,1.698173,4.460173,1.842873,4.830607,4.159860,4.638907,3.700127,2.017480,2.349113,4.791747,3.916893,3.919960
58,2.004760,5.213460,6.241953,1.677320,4.470073,1.847647,4.864687,4.158513,4.638467,3.702700,2.013593,2.350620,4.801200,3.904153,3.930133
