# Raman Linecut Export
# Pixel size: 15 nm
# Direction: horizontal
# Start offset from align: (5, 0)
# Length: 120 px
# Width averaged: 10 px
# Maps included: 15
# Alignment points:
#   860 cm⁻¹: align=(21,40), abs_start=(26,40)
#   870 cm⁻¹: align=(20,39), abs_start=(25,39)
#   880 cm⁻¹: align=(18,38), abs_start=(23,38)
#   890 cm⁻¹: align=(18,37), abs_start=(23,37)
#   900 cm⁻¹: align=(10,39), abs_start=(15,39)
#   911 cm⁻¹: align=(26,43), abs_start=(31,43)
#   920 cm⁻¹: align=(13,46), abs_start=(18,46)
#   930 cm⁻¹: align=(11,46), abs_start=(16,46)
#   941 cm⁻¹: align=(11,46), abs_start=(16,46)
#   950 cm⁻¹: align=(13,47), abs_start=(18,47)
#   960 cm⁻¹: align=(10,36), abs_start=(15,36)
#   970 cm⁻¹: align=(13,30), abs_start=(18,30)
#   980 cm⁻¹: align=(14,43), abs_start=(19,43)
#   991 cm⁻¹: align=(21,43), abs_start=(26,43)
#   1000 cm⁻¹: align=(23,44), abs_start=(28,44)

pixel_index,860_cm⁻¹,870_cm⁻¹,880_cm⁻¹,890_cm⁻¹,900_cm⁻¹,911_cm⁻¹,920_cm⁻¹,930_cm⁻¹,941_cm⁻¹,950_cm⁻¹,960_cm⁻¹,970_cm⁻¹,980_cm⁻¹,991_cm⁻¹,1000_cm⁻¹
32,3.084180,7.337340,8.392130,2.492350,7.525150,3.119210,8.546420,7.632130,8.198270,6.451160,3.682080,4.287100,7.464190,5.689840,5.777020
33,2.957000,7.185480,8.380230,2.604090,7.938810,3.185480,8.618640,7.474960,7.959340,6.315340,3.721830,4.310500,7.573950,5.628990,5.740710
34,2.913540,7.219480,8.552780,2.758110,8.266020,3.191700,8.567260,7.286680,7.766750,6.286280,3.791830,4.438170,7.654540,5.615230,5.751870
35,2.908980,7.462470,8.972580,2.876000,8.458010,3.160090,8.471630,7.117650,7.723820,6.367400,3.868920,4.535860,7.625720,5.539710,5.788670
36,2.912090,7.716140,9.471050,2.941580,8.427630,3.086160,8.241350,6.956310,7.691130,6.430020,3.890550,4.574770,7.534680,5.532100,5.782760
37,2.940190,7.969930,9.886380,2.990200,8.367610,3.014500,8.007690,6.849410,7.744200,6.542640,3.917080,4.509060,7.382610,5.571780,5.777360
38,3.003880,8.326030,10.292400,2.982980,8.225450,2.950990,7.875620,6.882680,7.878730,6.673650,3.922790,4.491730,7.262450,5.580050,5.777620
39,3.081940,8.575440,10.604400,2.942640,8.042630,2.899450,7.782050,6.967960,8.039840,6.757450,3.882530,4.427510,7.286690,5.611780,5.762360
40,3.164380,8.807890,10.747900,2.904250,7.832400,2.864510,7.804530,7.116930,8.188940,6.760330,3.817490,4.374720,7.298040,5.575200,5.749990
41,3.258260,8.983540,10.814900,2.844270,7.700680,2.904300,7.914770,7.283240,8.283220,6.709090,3.775320,4.352670,7.377450,5.536790,5.779320
42,3.330080,9.065830,10.761700,2.757220,7.602730,2.922220,8.035920,7.424200,8.281590,6.607100,3.751630,4.356190,7.444060,5.554260,5.780240
43,3.361570,9.014820,10.572100,2.705040,7.557430,2.975180,8.174060,7.458970,8.168650,6.484300,3.718880,4.382600,7.467290,5.612810,5.781770
44,3.424660,8.960280,10.316700,2.703720,7.640740,3.048090,8.411490,7.498380,8.071660,6.448260,3.745590,4.368650,7.501490,5.615910,5.810370
45,3.473040,8.938000,10.192770,2.680720,7.733740,3.104530,8.538690,7.472480,8.008750,6.413970,3.757310,4.431890,7.485830,5.578340,5.813620
46,3.467690,8.788170,10.037630,2.667210,7.852180,3.137650,8.581670,7.368430,7.853070,6.344740,3.769960,4.444330,7.453130,5.561260,5.809780
47,3.429770,8.593890,9.781900,2.697630,8.000270,3.149930,8.493940,7.227770,7.754810,6.369430,3.790860,4.414320,7.421130,5.531950,5.756770
48,3.403660,8.467240,9.623850,2.756910,8.179600,3.159130,8.469990,7.133370,7.749680,6.449790,3.839060,4.424840,7.394890,5.528610,5.761110
49,3.398750,8.413700,9.623410,2.818030,8.315700,3.140680,8.384540,7.078530,7.811240,6.520480,3.859790,4.420580,7.422000,5.503470,5.775030
