freq_cm-1,hankel_qp_cm-1,sqrtx_qp_cm-1,fft_amp_qp_cm-1,fft_amp_fwhm_cm-1,fft_phase_qp_cm-1,fft_phase_fwhm_cm-1,fft_complex_qp_cm-1,fft_complex_fwhm_cm-1,peak2to3_spacing_qp_cm-1
860,90894,90352,96345,71725,98571,80467,95761,73938,99924
870,108331,107126,110844,62764,102504,63432,110997,62407,105341
880,117422,116612,117274,55179,112699,57295,117355,54942,117056
890,125942,124601,125301,46632,131495,59895,125348,46622,127064
900,132339,133090,133858,52618,131042,49950,133855,52576,137169
911,148322,149140,144910,47402,143894,36812,144873,47559,160160
