distance_nm,O3A,O3P,Z_nm,Z_nm_corrected
0,3.1704466342926025,2.3522584438323975,21.805086135864258,-2.2098565101623535
15,3.125983715057373,2.3319733142852783,21.865070343017578,-2.20639967918396
30,3.028709650039673,2.3367373943328857,22.17997169494629,-1.9480257034301758
45,2.942859411239624,2.3253798484802246,22.446849822998047,-1.7376749515533447
60,2.920680046081543,2.289396286010742,22.276735305786133,-1.9643168449401855
75,2.7407469749450684,2.2331490516662598,22.373022079467773,-1.9245574474334717
90,2.461966037750244,2.1067254543304443,22.662389755249023,-1.6917171478271484
105,2.185152292251587,1.7758585214614868,22.917388916015625,-1.4932453632354736
120,2.0831785202026367,1.3188942670822144,23.278234481811523,-1.188927173614502
135,2.0979421138763428,1.203490972518921,23.542354583740234,-0.9813344478607178
150,2.284174680709839,1.641800880432129,24.393815994262695,-0.1864004284143448
165,3.5948004722595215,1.7090468406677246,24.763399124145508,0.12665532529354095
180,5.1196136474609375,1.5207469463348389,24.7369441986084,0.043673012405633926
195,6.213764190673828,1.2097644805908203,24.77102279663086,0.02122422866523266
210,6.384461402893066,0.9170763492584229,24.82588768005371,0.019561728462576866
225,5.7747673988342285,0.6924731135368347,24.910579681396484,0.0477263480424881
240,5.004398345947266,0.5859983563423157,25.005096435546875,0.08571571856737137
255,4.270066261291504,0.5702434778213501,25.133880615234375,0.157972514629364
270,3.7600200176239014,0.6427168846130371,25.20536231994629,0.17292682826519012
285,3.544567584991455,0.7790795564651489,25.262996673583984,0.17403380572795868
300,3.5659661293029785,0.8916720747947693,25.260231018066406,0.1147407665848732
315,3.7834348678588867,0.9590044021606445,25.21865463256836,0.01663699746131897
330,4.051522731781006,0.9582261443138123,25.19111442565918,-0.06743059307336807
345,4.212570667266846,0.9263170957565308,25.255952835083008,-0.0591195672750473
360,4.269527912139893,0.8722022175788879,25.419721603393555,0.04812181740999222
375,4.211602687835693,0.8553876876831055,25.566316604614258,0.138189435005188
390,4.126252174377441,0.8572722673416138,25.710935592651367,0.2262810468673706
405,4.053958892822266,0.8591228127479553,25.85076904296875,0.30958712100982666
420,4.038610458374023,0.8793109059333801,25.8968448638916,0.2991355359554291
435,4.0690460205078125,0.9028770923614502,25.873998641967773,0.2197619378566742
450,4.17376708984375,0.9077123999595642,25.868181228637695,0.1574171483516693
465,4.237313270568848,0.8965409994125366,25.84728240966797,0.0799909383058548
480,4.26840877532959,0.8719139099121094,25.86707878112793,0.04325992986559868
495,4.273385524749756,0.865828812122345,26.029197692871094,0.1488514542579651
510,4.25203275680542,0.8526055216789246,26.21124839782715,0.274374783039093
525,4.195335388183594,0.8226426243782043,26.2563419342041,0.2629409432411194
540,4.147739410400391,0.8554143905639648,26.239887237548828,0.189958855509758
555,4.1217265129089355,0.8603535294532776,26.259782791137695,0.15332701802253723
570,4.103720664978027,0.8523920774459839,26.29750633239746,0.1345231831073761
585,4.1303863525390625,0.8769788146018982,26.32315444946289,0.10364391654729843
600,4.124563694000244,0.8826561570167542,26.41533851623535,0.13930059969425201
615,4.156877040863037,0.8822637796401978,26.542064666748047,0.20949935913085938
630,4.181277275085449,0.8715327978134155,26.648426055908203,0.25933337211608887
645,4.183628082275391,0.8665579557418823,26.644914627075195,0.1992945522069931
660,4.178725242614746,0.8673731088638306,26.59540367126465,0.09325622022151947
675,4.145968437194824,0.8646606802940369,26.55868148803711,0.0000066531924858281855
690,4.1479082107543945,0.8675419688224792,26.588825225830078,-0.026376992464065552
705,4.10128927230835,0.887505829334259,26.696992874145508,0.02526327222585678
720,4.149563789367676,0.8718077540397644,26.799114227294922,0.07085724174976349
735,4.160085678100586,0.8847439289093018,26.825618743896484,0.040834374725818634
750,4.155220985412598,0.8597080707550049,26.828025817871094,-0.013285933993756771
765,4.154385089874268,0.8646520376205444,26.908159255981445,0.010320121422410011
780,4.173904895782471,0.87276291847229,27.008663177490234,0.05429665744304657
795,4.1834635734558105,0.8688847422599792,27.093994140625,0.08310023695230484
810,4.170379638671875,0.8543517589569092,27.196250915527344,0.12882962822914124
825,4.1909379959106445,0.858471155166626,27.2688045501709,0.14485588669776917
840,4.192292213439941,0.8699837327003479,27.30561637878418,0.12514032423496246
855,4.163138389587402,0.8732970356941223,27.38334846496582,0.14634503424167633
870,4.132631778717041,0.8737706542015076,27.452388763427734,0.15885794162750244
885,4.1596999168396,0.8694198727607727,27.497970581054688,0.1479123830795288
900,4.134568691253662,0.8710317015647888,27.562286376953125,0.15570078790187836
915,4.156999111175537,0.8741618394851685,27.598989486694336,0.13587652146816254
930,4.150361061096191,0.8593353629112244,27.61363983154297,0.093999482691288
945,4.17377233505249,0.8669071197509766,27.63687515258789,0.060707416385412216
960,4.195549011230469,0.8672597408294678,27.63973045349121,0.007035335060209036
975,4.173551559448242,0.8631431460380554,27.692726135253906,0.003503633663058281
990,4.191972732543945,0.8847948908805847,27.807518005371094,0.061768122017383575
1005,4.170227527618408,0.8772953152656555,27.882753372192383,0.08047610521316528
1020,4.196547508239746,0.8836355805397034,27.935754776000977,0.07695012539625168
1035,4.181883335113525,0.8747603297233582,27.96428108215332,0.048949047923088074
1050,4.165054798126221,0.8741096258163452,28.052555084228516,0.08069566637277603
1065,4.170406818389893,0.8658696413040161,28.131589889526367,0.10320308804512024
1080,4.153530597686768,0.8593183159828186,28.154071807861328,0.06915762275457382
1095,4.183638095855713,0.855378270149231,28.196945190429688,0.05550362169742584
1110,4.161071300506592,0.8538143634796143,28.266761779785156,0.06879282742738724
1125,4.142294883728027,0.8528547286987305,28.399322509765625,0.14482617378234863
1140,4.174588203430176,0.8618937134742737,28.4990291595459,0.1880054473876953
1155,4.143271446228027,0.8653516173362732,28.563329696655273,0.19577859342098236
1170,4.176762104034424,0.8678373694419861,28.653411865234375,0.22933338582515717
1185,4.185307025909424,0.8741158246994019,28.70405387878418,0.2234480082988739
1200,4.180505275726318,0.8687442541122437,28.73272705078125,0.19559380412101746
1215,4.208749294281006,0.865752100944519,28.755931854248047,0.16227121651172638
1230,4.203195571899414,0.8470836281776428,28.818431854248047,0.16824384033679962
1245,4.213092803955078,0.8653791546821594,28.870861053466797,0.16414564847946167
1260,4.195554733276367,0.8662540912628174,28.84189796447754,0.0786551758646965
1275,4.168449401855469,0.8619219064712524,28.849327087402344,0.029556918889284134
1290,4.183986186981201,0.8706665635108948,28.922182083129883,0.04588453099131584
1305,4.183203220367432,0.8701188564300537,28.96661949157715,0.03379455581307411
1320,4.183976650238037,0.8696557283401489,29.022756576538086,0.03340425714850426
1335,4.170572280883789,0.8755225539207458,29.074901580810547,0.02902187965810299
1350,4.20053768157959,0.8800562620162964,29.140460968017578,0.038053881376981735
1365,4.198403358459473,0.8799001574516296,29.159360885620117,0.0004264172457624227
1380,4.166355609893799,0.8705318570137024,29.219511032104492,0.004049180541187525
1395,4.151561737060547,0.870303750038147,29.27619743347168,0.00420819828286767
1410,4.168377876281738,0.8610512614250183,29.372591018676758,0.0440744012594223
1425,4.1551079750061035,0.8759665489196777,29.471519470214844,0.08647546917200089
1440,4.189068794250488,0.8703985810279846,29.59971809387207,0.1581467092037201
1455,4.192459583282471,0.8694571852684021,29.730838775634766,0.23273999989032745
1470,4.222228527069092,0.8751566410064697,29.807283401489258,0.2526572644710541
1485,4.243497371673584,0.8744834065437317,29.857542037963867,0.2463885098695755
1500,4.2264323234558105,0.8714743256568909,29.840011596679688,0.17233067750930786
1515,4.233177185058594,0.8590972423553467,29.863840103149414,0.13963180780410767
1530,4.228835105895996,0.8730338215827942,29.933021545410156,0.1522858589887619
1545,4.221704006195068,0.8638961911201477,29.988418579101562,0.1511555165052414
1560,4.196486949920654,0.8664429783821106,30.0405216217041,0.1467311680316925
1575,4.1954665184021,0.8739910125732422,30.066822052001953,0.11650421470403671
1590,4.2158708572387695,0.8686022162437439,30.106882095336914,0.1000368744134903
1605,4.172329902648926,0.8646542429924011,30.199941635131836,0.1365690380334854
1620,4.184962272644043,0.8687678575515747,30.292400360107422,0.1725003719329834
1635,4.1898016929626465,0.8532459735870361,30.282758712768555,0.10633134096860886
1650,4.187710762023926,0.8482552170753479,30.25884246826172,0.025887716561555862
1665,4.182022571563721,0.8621448278427124,30.348087310791016,0.05860517546534538
1680,4.221444129943848,0.8692724704742432,30.450990676879883,0.10498116165399551
1695,4.235413551330566,0.8669430613517761,30.531108856201172,0.12857195734977722
1710,4.196216583251953,0.8623457551002502,30.54747200012207,0.0884077176451683
1725,4.2090559005737305,0.8776534199714661,30.556001663208008,0.04040999338030815
1740,4.186463832855225,0.8665079474449158,30.610198974609375,0.038079921156167984
1755,4.212435245513916,0.8658831119537354,30.691484451293945,0.06283801794052124
1770,4.198249340057373,0.8544001579284668,30.738338470458984,0.05316465348005295
1785,4.175942897796631,0.862930417060852,30.763957977294922,0.022256774827837944
1800,4.18487548828125,0.8590304851531982,30.853214263916016,0.05498567968606949
1815,4.1907243728637695,0.869516909122467,30.97232437133789,0.11756840348243713
1830,4.174963474273682,0.8610759973526001,31.091533660888672,0.18025030195713043
1845,4.21277379989624,0.8511217832565308,31.16384506225586,0.19603432714939117
1860,4.215349197387695,0.8677265048027039,31.197084426879883,0.17274631559848785
1875,4.238190650939941,0.8730496764183044,31.18405532836914,0.10318982601165771
1890,4.215844631195068,0.8595479726791382,31.202285766601562,0.06489288061857224
1905,4.2043681144714355,0.8610109090805054,31.23989486694336,0.045974597334861755
1920,4.196982383728027,0.8652502298355103,31.303606033325195,0.05315838009119034
1935,4.174152374267578,0.8689791560173035,31.443634033203125,0.13665899634361267
1950,4.189268589019775,0.8576796054840088,31.569992065429688,0.2064896523952484
1965,4.2284932136535645,0.8622233867645264,31.685972213745117,0.26594242453575134
1980,4.237155437469482,0.8652014136314392,31.722023010253906,0.24546582996845245
1995,4.2093424797058105,0.8536709547042847,31.736459732055664,0.20337516069412231
2010,4.206283092498779,0.8654181361198425,31.757789611816406,0.16817766427993774
2025,4.200681209564209,0.8745722770690918,31.80506134033203,0.1589220017194748
2040,4.1865153312683105,0.8766858577728271,31.851308822631836,0.14864210784435272
2055,4.176271438598633,0.8721781373023987,31.896564483642578,0.13737037777900696
2070,4.177656650543213,0.860593318939209,31.94871711730957,0.1329956352710724
2085,4.184504508972168,0.8651773929595947,31.994647979736328,0.12239911407232285
2100,4.182979106903076,0.8632346391677856,32.09617233276367,0.16739608347415924
2115,4.2102203369140625,0.8725832104682922,32.20687484741211,0.2215712070465088
2130,4.198020935058594,0.8779037594795227,32.29498291015625,0.25315189361572266
2145,4.244669437408447,0.8746649026870728,32.34044647216797,0.24208806455135345
2160,4.235082626342773,0.867401659488678,32.40278244018555,0.24789665639400482
2175,4.193798065185547,0.871102511882782,32.385032653808594,0.17361947894096375
2190,4.211949348449707,0.8527442812919617,32.414302825927734,0.1463622748851776
2205,4.200396537780762,0.8674904704093933,32.4312629699707,0.10679503530263901
2220,4.192337512969971,0.8727048635482788,32.490989685058594,0.10999436676502228
2235,4.184948444366455,0.8815391659736633,32.60270309448242,0.16518038511276245
2250,4.187317848205566,0.9010121822357178,32.67715072631836,0.1831006407737732
2265,4.115569591522217,0.9078168272972107,32.74519729614258,0.19461983442306519
2280,4.045605659484863,0.9087539911270142,32.8134880065918,0.20638315379619598
2295,3.9603755474090576,0.9132221937179565,32.838645935058594,0.1750137060880661
2310,3.865530014038086,0.8844217658042908,32.820472717285156,0.10031309723854065
2325,3.793069362640381,0.8782517313957214,32.832210540771484,0.05552353709936142
2340,3.702012300491333,0.8816312551498413,32.88062286376953,0.04740848019719124
2355,3.6418075561523438,0.862426221370697,32.87697219848633,-0.01276957057416439
2370,3.5745413303375244,0.8539312481880188,32.83275604248047,-0.11351311206817627
2385,3.476992607116699,0.8536610007286072,32.84845733642578,-0.15433919429779053
2400,3.4405481815338135,0.8670930862426758,32.97441864013672,-0.08490528166294098
2415,3.4405181407928467,0.8821859359741211,33.164039611816406,0.048188310116529465
2430,3.4371654987335205,0.896138608455658,33.26847457885742,0.09609588980674744
2445,3.4745326042175293,0.8932437300682068,33.3458251953125,0.1169191300868988
2460,3.5199203491210938,0.8942559957504272,33.46044921875,0.17501576244831085
