start_um,hankel_q_1e5cm-1,hankel_rmse,1/sqrtx_q_1e5cm-1,1/sqrtx_rmse
0.0,0.9817927729979709,0.5789875493996052,0.9737414717161575,0.5553044422713188
0.02,0.9803881651213928,0.6249050248631364,0.9761411599633799,0.5763060510233035
0.04,0.9385480174913915,0.6302247895602178,0.9726233023826516,0.6144476427376477
0.06,0.9317316540755866,0.5699146918635465,0.9733953345498426,0.5903288932803229
0.08,0.9335599768599573,0.35321180621195036,0.9745433406636592,0.45343259392407587
0.1,0.9627090141587175,0.2251796081494231,0.9759208988577633,0.32006459048658065
0.12,0.992019995939821,0.20120868027417338,0.9893783821879041,0.19996249008379108
0.14,1.008526190279255,0.2261020471617931,0.9990012711931937,0.20150136983793215
0.16,1.0209359745714572,0.25217897419259916,1.0033169211087472,0.21200161611011104
0.18,1.0068992289611098,0.2602546109303097,1.0000859120276302,0.22619589357698103
0.2,0.9855277517038014,0.27451365799177196,0.9877799732591598,0.23530896026890222
0.22,0.9604287429030726,0.25445339361612945,0.9749042292425889,0.2304239965588561
0.24,0.9594631171229909,0.2224314085742624,0.9747785319211849,0.2183905805166941
0.26,0.9733793329976858,0.18344674753155513,0.9835541378460078,0.18930082765151615
0.28,1.0028711061170588,0.13677918772979178,1.0009772988964327,0.1640018908664176
0.3,1.0413997810222841,0.09866778542362571,1.0212679810635943,0.1373676352826942
0.32,1.0642479681170862,0.06881914893181196,1.0563691654386125,0.08567403025323884
0.34,1.084752390982698,0.07760474760948845,1.0682133183189972,0.07571868127073632
0.36,1.083315685153447,0.09043971369629857,1.0712589220195003,0.0752484276294052
0.38,1.0628407504021729,0.09468044074283262,1.0711424082560752,0.07831632474735836
0.4,1.0531812425159817,0.09532141331816218,1.0650665092369425,0.07823582181335735
0.42,1.0629207753663297,0.08545130699258133,1.0647665730326132,0.07415618269890718
0.44,1.0783369014855453,0.0833244701545282,1.0704992016893593,0.07052271279880415
0.46,1.0958203557928732,0.0658562881991651,1.0881055709361869,0.06500536887711116
0.48,1.1115356844473934,0.07041139001928978,1.096811193166318,0.0642591275311232
0.5,1.1196267410195557,0.07369611980004985,1.09989158228838,0.06652519722600221
