start_um,hankel_q_1e5cm-1,hankel_rmse,1/sqrtx_q_1e5cm-1,1/sqrtx_rmse
0.0,0.9024942009987845,0.1987606640010839,0.8895011448935634,0.19186581095645616
0.02,0.9075821883314172,0.21366883268607192,0.8901626782263065,0.19981276441388723
0.04,0.8642776966952085,0.21758821945333098,0.8804511666360634,0.2080647416171323
0.06,0.852955683412277,0.20595099256997,0.8669889688518951,0.2004222087547748
0.08,0.8497840081077357,0.1417617908755687,0.8691683841670504,0.15752127756262382
0.1,0.8696910185050319,0.08526186177423734,0.8854914541459225,0.12185790319631952
0.12,0.9011383882328173,0.06121918491492016,0.8934525685136889,0.06549371837051876
0.14,0.920980700592637,0.06720604725152592,0.8947188694725172,0.0658599426711528
0.16,0.9343773677690355,0.08106693405250787,0.8953565219825254,0.06863151364986299
0.18,0.9162895911333638,0.0762483006797914,0.8919718128567788,0.06709756892968571
0.2,0.8914047466224015,0.07674141878626793,0.8900691861105304,0.06446607634065712
0.22,0.8610916215290754,0.07040136952177467,0.8729228211553455,0.06119668923547719
0.24,0.8450370252596275,0.06399783304664151,0.8616734944978078,0.057576951040472966
0.26,0.848630433035913,0.05891913288296497,0.8607429488462344,0.05339872286578722
0.28,0.8692723967323932,0.05146907946399832,0.8725407422753825,0.05070301847176697
0.3,0.8982335712561154,0.03797589749163373,0.8892827739801865,0.04655126994640828
0.32,0.9205965200856983,0.027535659776167957,0.8965326731255089,0.031171749145833007
0.34,0.9485995346191541,0.025040139362749413,0.8978035327386568,0.03039553078946817
0.36,0.9674460809646649,0.0226788599290501,0.8979251403172865,0.03199008033058636
0.38,0.9729441524225205,0.02553501298559106,0.9666288961905454,0.02314982042202263
0.4,0.965346613233804,0.02872285719088333,0.9664931527642757,0.02445827568285284
0.42,0.9504019845204607,0.028573002137285967,0.9610674201339806,0.02458624020188955
0.44,0.9445891584416144,0.020832578304997948,0.958400600780993,0.022283500302378526
0.46,0.9539468186207063,0.022461967534867507,0.9589905762643558,0.01754836636990418
0.48,0.962944136516931,0.020372966116981115,0.8972061792362278,0.024979809699164263
0.5,0.9791176042756149,0.020035215085212024,0.9674008552767358,0.017071309593206328
